name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangladesh,2020-01-23,24.0,16.0,19.0,24.0,16.0,19.0,12.5,67.4,0.2,100,8.33,rain,0,0,21.2,11.2,20.5,1016.0,24.6,3.1,112.1,9.8,5,,2020-01-23T06:42:10,2020-01-23T17:38:09,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41922099999"
Bangladesh,2020-01-24,25.0,14.0,18.3,25.0,14.0,18.3,13.3,74.2,0.0,0,0.0,,0,0,23.0,14.8,282.1,1015.9,15.5,2.3,175.3,15.0,7,,2020-01-24T06:41:57,2020-01-24T17:38:53,0.98,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-25,24.0,13.0,17.8,24.0,13.0,17.8,11.2,66.7,0.0,0,0.0,,0,0,18.7,11.2,298.4,1014.9,6.4,2.7,206.8,17.9,8,,2020-01-25T06:41:44,2020-01-25T17:39:36,0.0,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-26,24.0,13.0,18.6,24.0,13.0,18.6,12.1,67.4,0.0,0,0.0,,0,0,25.9,18.4,294.5,1013.3,9.2,3.2,188.4,16.2,7,,2020-01-26T06:41:29,2020-01-26T17:40:19,0.04,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-01-27,23.0,13.0,17.9,23.0,13.0,17.9,13.5,76.6,0.0,0,0.0,,0,0,25.6,11.2,282.2,1012.9,24.3,1.8,151.2,13.0,7,,2020-01-27T06:41:13,2020-01-27T17:41:02,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-28,24.0,14.0,18.5,24.0,14.0,18.5,13.5,74.5,0.0,0,0.0,,0,0,15.8,5.4,140.0,1013.8,37.0,2.0,201.7,17.6,7,,2020-01-28T06:40:55,2020-01-28T17:41:44,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-01-29,28.1,17.0,19.1,28.9,17.0,19.1,16.4,84.9,0.2,100,8.33,rain,0,0,19.1,11.2,129.0,1015.9,61.5,1.2,94.3,8.1,5,,2020-01-29T06:40:36,2020-01-29T17:42:27,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,remote,41922099999"
Bangladesh,2020-01-30,24.0,17.0,20.7,24.0,17.0,20.7,16.3,76.9,0.1,100,4.17,rain,0,0,15.8,11.2,101.2,1013.9,65.9,1.5,130.6,11.1,5,,2020-01-30T06:40:15,2020-01-30T17:43:09,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41922099999"
Bangladesh,2020-01-31,25.0,18.0,20.8,25.0,18.0,20.8,16.4,76.9,0.7,100,25.0,rain,0,0,23.8,14.8,304.0,1014.0,38.7,1.8,166.4,14.5,6,,2020-01-31T06:39:53,2020-01-31T17:43:50,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VGHS,41922099999"
Bangladesh,2020-02-01,25.0,15.0,19.5,25.0,15.0,19.5,12.0,64.0,0.0,0,0.0,,0,0,23.4,14.8,315.9,1015.5,5.5,2.9,209.9,18.2,8,,2020-02-01T06:39:30,2020-02-01T17:44:32,0.24,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-02,24.0,15.0,19.0,24.0,15.0,19.0,11.6,63.7,0.0,0,0.0,,0,0,30.2,18.4,292.1,1017.9,1.2,3.3,216.6,18.6,8,,2020-02-02T06:39:06,2020-02-02T17:45:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-03,24.0,13.0,17.5,24.0,13.0,17.5,11.0,66.8,0.0,0,0.0,,0,0,20.9,16.6,317.1,1018.2,0.0,3.5,222.0,19.2,8,,2020-02-03T06:38:40,2020-02-03T17:45:53,0.3,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-04,25.0,14.0,19.4,25.0,14.0,19.4,11.6,62.3,0.0,0,0.0,,0,0,23.8,14.8,315.2,1015.9,12.4,3.5,220.6,19.1,8,,2020-02-04T06:38:13,2020-02-04T17:46:34,0.34,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-05,26.0,15.0,20.9,26.0,15.0,20.9,11.9,57.7,0.0,0,0.0,,0,0,25.6,14.8,295.4,1014.2,31.9,3.4,176.3,15.3,7,,2020-02-05T06:37:45,2020-02-05T17:47:13,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-02-06,25.0,15.0,19.8,25.0,15.0,19.8,11.8,62.5,0.0,0,0.0,,0,0,21.2,14.8,325.8,1016.0,3.5,3.0,207.8,17.9,8,,2020-02-06T06:37:16,2020-02-06T17:47:53,0.4,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-07,25.0,17.0,20.3,25.0,17.0,20.3,12.2,60.7,0.0,0,0.0,,0,0,20.2,14.8,318.4,1017.3,44.7,3.1,174.6,15.1,8,,2020-02-07T06:36:45,2020-02-07T17:48:32,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-02-08,24.0,17.0,20.0,24.0,17.0,20.0,12.5,62.8,0.0,0,0.0,,0,0,21.2,16.6,317.1,1017.6,65.8,2.9,114.4,9.9,5,,2020-02-08T06:36:13,2020-02-08T17:49:11,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-02-09,28.0,17.0,21.5,27.5,17.0,21.5,13.5,62.6,0.1,100,4.17,rain,0,0,24.1,18.4,318.3,1017.9,35.8,3.2,189.8,16.3,7,,2020-02-09T06:35:40,2020-02-09T17:49:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VGHS,41922099999"
Bangladesh,2020-02-10,27.0,15.0,20.4,26.6,15.0,20.4,11.0,56.8,0.0,0,0.0,,0,0,27.4,18.4,318.1,1017.3,0.0,3.6,229.5,19.8,8,,2020-02-10T06:35:06,2020-02-10T17:50:27,0.53,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-11,27.0,15.0,20.6,26.7,15.0,20.5,11.8,59.4,0.0,0,0.0,,0,0,24.8,18.4,315.6,1017.3,0.0,3.6,228.6,19.7,8,,2020-02-11T06:34:30,2020-02-11T17:51:04,0.57,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-12,27.0,16.0,20.9,26.7,16.0,20.8,12.5,61.8,0.0,0,0.0,,0,0,26.6,18.4,304.3,1016.4,4.6,3.4,230.9,19.9,8,,2020-02-12T06:33:54,2020-02-12T17:51:41,0.6,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-13,26.0,14.0,20.3,26.0,14.0,20.3,12.0,61.1,0.0,0,0.0,,0,0,26.6,14.8,286.2,1014.0,0.0,3.3,231.1,19.9,8,,2020-02-13T06:33:16,2020-02-13T17:52:17,0.64,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-14,27.0,16.0,20.6,27.0,16.0,20.6,13.6,65.6,0.0,0,0.0,,0,0,26.3,11.2,210.6,1010.5,9.6,3.1,193.8,16.7,8,,2020-02-14T06:32:38,2020-02-14T17:52:53,0.67,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-15,29.0,19.0,23.0,30.3,19.0,23.2,16.8,69.3,0.0,0,0.0,,0,0,22.7,14.8,86.7,1012.0,25.0,2.8,214.4,18.6,8,,2020-02-15T06:31:58,2020-02-15T17:53:29,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
Bangladesh,2020-02-16,29.0,18.0,23.0,29.8,18.0,23.1,16.7,70.1,0.0,0,0.0,,0,0,19.8,14.8,270.1,1014.5,24.5,2.4,220.1,19.0,8,,2020-02-16T06:31:17,2020-02-16T17:54:04,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41922099999"
