Date,Actual_Demand(MW),Generation(MW),Temp(C),Year,Month,Season,IsHoliday,DemandGenGap(MW),Predicted_Demand(MW)
2024-09-04,15500.000000000002,15298.0,30.0,2024,9,1,0,-202.0000000000004,15513.15944742877
2024-08-27,14000.0,15756.0,28.3,2024,8,1,0,1755.999999999999,14235.08081871064
2024-08-26,12799.999999999998,15434.0,27.0,2024,8,1,0,2634.0,13721.097824232153
2024-08-22,14000.0,15164.000000000002,26.9,2024,8,1,0,1163.9999999999995,13841.701078771976
2024-08-15,16000.0,15152.0,30.6,2024,8,1,0,-848.0000000000001,15494.18007069609
2024-08-09,13499.999999999998,16595.0,28.7,2024,8,1,1,3095.0000000000005,13719.29707248688
2024-08-02,12500.0,16151.999999999998,26.5,2024,8,1,1,3652.0,13347.44351005545
2024-07-13,14800.0,16225.000000000002,29.1,2024,7,1,0,1424.999999999999,14728.309411468515
2024-07-12,13499.999999999998,16036.0,27.9,2024,7,1,1,2535.9999999999995,13329.33552482256
2024-07-07,15000.0,16075.999999999998,30.3,2024,7,1,0,1076.0000000000002,15606.49965690021
2024-07-05,13499.999999999998,14980.0,28.2,2024,7,1,1,1479.999999999999,13627.053416656225
2024-07-01,14300.0,14825.000000000002,28.0,2024,7,1,0,525.0000000000001,14338.99331896682
2024-06-29,14000.0,14614.0,29.0,2024,6,1,0,614.0,14736.23042105891
2024-06-19,12500.0,16011.999999999998,28.2,2024,6,1,0,3512.0,14328.802126813274
2024-06-18,13499.999999999998,16760.0,29.9,2024,6,1,0,3260.0,14987.298413834757
2024-06-11,16500.0,16840.0,31.399999999999995,2024,6,1,0,339.9999999999996,15630.635309924686
2024-06-05,15900.0,15985.0,30.2,2024,6,1,0,84.99999999999953,15484.986247147464
2024-06-03,16000.0,16121.0,30.5,2024,6,1,0,120.99999999999945,15310.554874208628
2024-05-30,15000.0,15897.0,31.399999999999995,2024,5,1,0,896.9999999999992,15476.316428076596
2024-05-20,15000.0,16950.0,28.0,2024,5,1,0,1950.0,13327.053930587732
2024-05-12,13800.0,16958.0,28.1,2024,5,1,0,3158.0000000000005,13135.448293638592
2024-05-06,14000.0,16789.0,25.1,2024,5,1,0,2788.9999999999995,12446.300619985324
2024-05-01,16200.000000000002,16882.0,33.6,2024,5,1,0,681.9999999999999,16351.057411701067
2024-04-25,16800.0,17492.0,33.2,2024,4,1,0,691.9999999999994,16550.69449518144
2024-04-23,16800.0,16530.0,32.8,2024,4,1,0,-270.0000000000003,16222.564549877983
2024-04-22,16200.000000000002,16697.0,32.7,2024,4,1,0,496.9999999999994,16143.879909476927
2024-04-18,15000.0,16568.0,30.2,2024,4,1,0,1568.0000000000002,14443.913313865403
2024-04-15,14000.0,15543.0,32.0,2024,4,1,0,1542.999999999999,15916.174281771297
2024-04-11,11300.0,15897.0,29.6,2024,4,1,0,4597.0,14379.529167678967
2024-04-03,15300.0,14344.0,30.6,2024,4,1,0,-956.0000000000005,14643.662678202336
2024-04-01,14199.999999999998,13740.0,30.2,2024,4,1,0,-460.00000000000045,14723.17031401594
2024-03-27,12700.0,13377.0,27.0,2024,3,1,0,677.0,12172.990456889713
2024-03-23,12000.0,13143.0,25.7,2024,3,1,0,1142.9999999999995,12046.150847494133
2024-03-22,10700.000000000002,13365.0,23.4,2024,3,1,1,2665.0,11699.64346598675
2024-03-19,13600.0,13662.0,26.7,2024,3,1,0,61.99999999999986,12318.450004597393
2024-03-18,13300.0,13834.0,27.9,2024,3,1,0,534.0,12687.828676298826
2024-03-04,12000.0,13609.0,24.1,2024,3,1,0,1609.0,11633.581560955628
2024-02-25,11500.0,12381.0,22.2,2024,2,0,0,881.0000000000002,10723.570748499558
2024-02-24,11250.0,12423.0,23.5,2024,2,0,0,1172.9999999999998,10983.751169152012
2024-02-22,11000.0,12291.0,23.8,2024,2,0,0,1290.9999999999995,11085.0960038364
2024-02-19,11500.0,11750.0,23.4,2024,2,0,0,250.0000000000001,11138.500097823471
2024-02-16,10300.0,11803.0,23.8,2024,2,0,1,1502.9999999999995,11026.061726079604
2024-02-13,11300.0,12276.0,22.1,2024,2,0,0,976.0000000000002,11052.62229064468
2024-02-06,10900.0,10995.0,21.4,2024,2,0,0,94.99999999999996,10837.61968442006
2024-01-26,9700.0,11416.0,18.6,2024,1,0,1,1716.0000000000002,10341.493535486072
2024-01-19,10300.0,11006.0,19.4,2024,1,0,1,705.9999999999997,10043.59207749133
2024-01-18,10700.000000000002,11822.0,27.37918468190241,2024,1,0,0,1122.0,10576.541080188468
2024-01-10,10000.000000000002,11780.0,18.3,2024,1,0,0,1780.0000000000002,10240.846874526636
2024-01-07,8999.999999999998,12011.0,20.4,2024,1,0,0,3011.0000000000005,10399.056968053894
2024-01-05,10000.000000000002,11881.0,27.403704742397267,2024,1,0,1,1881.0,9897.027754583723
2023-12-26,10200.0,11816.0,21.7,2023,12,0,0,1615.999999999999,10394.055755604262
2023-12-25,10000.000000000002,11580.0,21.9,2023,12,0,0,1580.0000000000002,10388.828402111983
2023-12-24,10200.0,11895.0,21.7,2023,12,0,0,1694.9999999999995,10345.820399481505
2023-12-23,9500.0,11779.0,21.6,2023,12,0,0,2278.9999999999995,10319.549723639931
2023-12-15,9800.0,11071.0,19.7,2023,12,0,1,1270.9999999999995,9867.210464355983
2023-12-10,11000.0,12695.0,21.6,2023,12,0,0,1694.9999999999995,10392.405686146358
2023-12-09,10500.0,12358.0,23.0,2023,12,0,0,1857.9999999999995,10528.373704939033
2023-12-02,10500.0,13655.0,25.5,2023,12,0,0,3155.0,10893.9659438307
2023-11-24,10000.000000000002,13598.0,24.3,2023,11,0,1,3598.0,10494.149672881016
2023-11-23,11500.0,14190.0,24.5,2023,11,0,0,2690.0,10741.815753274986
2023-11-12,11800.0,13667.0,26.4,2023,11,0,0,1866.9999999999995,11681.718598565614
2023-11-08,12000.0,12352.0,26.6,2023,11,0,0,351.9999999999998,11870.81720104108
2023-11-01,12700.0,14901.000000000002,28.7,2023,11,0,0,2201.0,12877.294984135617
2023-10-29,13000.0,14344.0,27.4,2023,10,1,0,1343.9999999999995,11737.702316340376
2023-10-26,13499.999999999998,14510.0,27.9,2023,10,1,0,1010.0,13165.148933133429
2023-10-24,12000.0,14727.0,27.1,2023,10,1,0,2726.9999999999995,11854.759497724935
2023-10-23,13600.0,14536.0,26.7,2023,10,1,0,935.9999999999994,11844.381321414903
2023-10-21,13000.0,14105.0,28.3,2023,10,1,0,1105.0,13964.447941713592
2023-10-17,14000.0,14627.0,28.8,2023,10,1,0,626.9999999999998,14042.31839244157
2023-10-15,14500.0,14937.0,29.2,2023,10,1,0,436.99999999999926,13963.408436206171
2023-10-12,14350.0,14982.000000000002,30.1,2023,10,1,0,631.9999999999997,14880.379358122997
2023-10-11,14500.0,15251.999999999998,29.8,2023,10,1,0,751.9999999999995,14227.833949837015
2023-10-10,14500.0,15302.999999999998,29.4,2023,10,1,0,802.9999999999999,14001.530185111857
2023-10-08,14500.0,14954.999999999998,29.8,2023,10,1,0,455.0,14016.425451831665
2023-10-05,13200.0,16017.000000000002,27.1,2023,10,1,0,2817.0,11853.132556051349
2023-10-04,13600.0,16350.0,27.6,2023,10,1,0,2750.0,12069.190159432264
2023-09-29,14700.0,17091.0,30.9,2023,9,1,1,2391.0,14251.621240568154
2023-09-17,15400.0,15453.000000000002,31.0,2023,9,1,0,52.99999999999951,14988.914242058108
2023-09-16,14500.0,15335.0,30.5,2023,9,1,0,834.9999999999999,14952.741079571795
2023-09-14,15000.0,15642.999999999998,29.5,2023,9,1,0,642.9999999999998,14470.988650650275
2023-09-05,15500.000000000002,15425.0,31.300000000000004,2023,9,1,0,-75.00000000000058,14668.277425277704
2023-09-03,15000.0,15710.0,30.2,2023,9,1,0,710.0000000000001,14618.489497887174
2023-08-20,15200.0,14191.0,30.8,2023,8,1,0,-1009.0,15022.498349272084
2023-08-19,14400.0,15001.0,29.9,2023,8,1,0,600.9999999999993,14648.899295575802
2023-08-17,14900.0,14908.999999999998,30.6,2023,8,1,0,8.99999999999935,14957.1541533692
2023-08-16,14800.0,15468.999999999998,29.0,2023,8,1,0,669.0000000000002,14514.00444979192
2023-08-15,13900.0,15166.999999999998,29.3,2023,8,1,0,1266.9999999999998,14496.768440371514
2023-08-13,13499.999999999998,14635.0,27.5,2023,8,1,0,1134.9999999999998,12366.67663634916
2023-08-12,14000.0,14482.0,29.5,2023,8,1,0,482.00000000000006,14499.08951886586
2023-08-08,13499.999999999998,15536.0,27.7,2023,8,1,0,2036.0000000000005,13458.633992533316
2023-08-05,14500.0,14855.0,29.5,2023,8,1,0,355.00000000000006,14126.637641465122
2023-08-01,15500.000000000002,15307.0,30.4,2023,8,1,0,-193.00000000000023,14454.253507923577
2023-07-14,14000.0,15650.999999999998,30.3,2023,7,1,1,1650.9999999999995,13977.300198670491
2023-07-05,13900.0,14891.0,30.3,2023,7,1,0,990.9999999999995,14478.250125940714
2023-07-01,11000.0,13997.0,27.0,2023,7,1,0,2997.0,11728.791700629386
2023-06-28,12000.0,14433.0,27.0,2023,6,1,0,2433.0,11421.1054409935
2023-06-27,11300.0,14502.0,27.2,2023,6,1,0,3202.0000000000005,11533.0203254457
2023-06-25,14800.0,14080.0,29.8,2023,6,1,0,-720.0000000000008,14474.123893233653
2023-06-14,14199.999999999998,15213.0,31.1,2023,6,1,0,1012.9999999999992,14681.535660394731
2023-06-09,14500.0,15216.0,27.8,2023,6,1,1,715.9999999999997,12722.527863164152
2023-06-06,15800.0,14389.0,33.5,2023,6,1,0,-1411.0000000000002,15551.265043000118
2023-06-05,15800.0,14173.0,32.9,2023,6,1,0,-1627.0000000000002,15487.984045390762
2023-05-28,13800.0,14324.0,29.5,2023,5,1,0,523.9999999999995,13716.579667463302
2023-05-27,13499.999999999998,13883.0,28.0,2023,5,1,0,382.99999999999966,12910.908848194123
2023-05-21,14500.0,14231.0,30.2,2023,5,1,0,-269.0000000000007,14197.159855147584
2023-05-18,12500.0,13254.0,27.3,2023,5,1,0,754.0000000000002,12305.49014936142
2023-05-12,14000.0,14400.0,31.399999999999995,2023,5,1,1,399.9999999999993,13997.11002038153
2023-05-11,15500.000000000002,14660.0,31.500000000000004,2023,5,1,0,-840.0000000000006,15146.353180523509
2023-05-04,13200.0,14397.0,28.3,2023,5,1,0,1197.0,12576.540662146685
2023-05-03,14500.0,14712.0,29.2,2023,5,1,0,211.99999999999952,12548.13842834498
2023-04-28,11000.0,14443.0,29.0,2023,4,1,1,3442.999999999999,12736.895746252088
2023-04-27,13000.0,15840.0,30.3,2023,4,1,0,2840.0000000000005,14159.108608612196
2023-04-26,13000.0,15468.999999999998,31.0,2023,4,1,0,2468.999999999999,14411.816334669236
2023-04-25,11000.0,15462.0,30.3,2023,4,1,0,4462.0,14149.42666120637
2023-04-18,16000.0,15616.999999999998,32.4,2023,4,1,0,-383.0,15488.814751831103
2023-04-14,14500.0,15638.999999999998,32.4,2023,4,1,1,1138.9999999999995,14890.997151687448
2023-04-09,14300.0,14902.0,30.5,2023,4,1,0,601.9999999999999,14156.089509286629
2023-04-05,13800.0,14279.0,29.6,2023,4,1,0,478.9999999999998,13167.838440907964
2023-04-03,12099.999999999998,14121.0,27.9,2023,4,1,0,2021.0,11967.87547505814
2023-04-01,11900.0,14026.0,25.1,2023,4,1,0,2126.0,11092.126272359485
2023-03-29,12400.0,13640.0,26.5,2023,3,1,0,1240.0000000000002,11530.944020738796
2023-03-28,12500.0,14000.0,27.9,2023,3,1,0,1499.999999999999,12558.025292128124
2023-03-27,11900.0,13796.0,27.4,2023,3,1,0,1896.0,11375.680643982883
2023-03-18,12000.0,13034.0,26.0,2023,3,1,0,1033.9999999999998,11758.478062153434
2023-03-09,12600.0,13729.0,28.1,2023,3,1,0,1128.999999999999,12386.858338500448
2023-03-02,12000.0,12785.0,26.7,2023,3,1,0,785.0000000000001,11211.658244326156
2023-02-23,11500.0,12233.0,26.9,2023,2,0,0,733.0000000000002,11464.54890673174
2023-02-22,11000.0,10763.0,26.5,2023,2,0,0,-237.00000000000065,11468.548663194186
2023-02-19,10800.0,11440.0,24.7,2023,2,0,0,639.9999999999994,10870.796503226366
2023-02-13,10749.999999999998,10888.0,23.6,2023,2,0,0,138.00000000000003,10528.126873770108
2023-02-03,10000.000000000002,10899.0,21.4,2023,2,0,1,898.9999999999994,10125.041040013051
2023-02-01,10500.0,10873.0,23.4,2023,2,0,0,373.0000000000002,10514.85528257513
2023-01-27,10300.0,10398.0,23.2,2023,1,0,1,97.99999999999926,10136.954801856027
2023-01-25,10300.0,10703.0,22.6,2023,1,0,0,402.9999999999996,10383.749224266125
2023-01-23,10200.0,14160.284307692307,21.0,2023,1,0,0,-268.00000000000034,10192.459914187471
2023-01-11,10300.0,10421.0,20.2,2023,1,0,0,120.99999999999945,9972.639578238925
2022-12-30,8700.0,14172.643298480783,19.1,2022,12,0,1,1498.9999999999995,8823.561272645997
2022-12-28,9900.0,10343.0,21.5,2022,12,0,0,442.99999999999983,9933.598847290486
2022-12-24,9500.0,14175.067545146523,21.5,2022,12,0,0,709.0,9901.9008040729
2022-12-22,9800.0,10911.0,22.4,2022,12,0,0,1110.9999999999995,9840.008923632247
2022-12-20,10000.000000000002,10952.0,22.6,2022,12,0,0,951.9999999999994,10068.492614548388
2022-12-19,10200.0,10974.0,21.8,2022,12,0,0,774.0000000000001,10068.669024405248
2022-12-12,10000.000000000002,11234.0,23.0,2022,12,0,0,1234.0,9955.177555115151
2022-12-10,9700.0,11461.0,23.5,2022,12,0,0,1760.9999999999998,10164.05070555699
2022-12-07,10200.0,11112.0,23.4,2022,12,0,0,912.0,10070.164366379016
2022-12-04,10500.0,11914.0,23.8,2022,12,0,0,1413.9999999999995,9958.103500649651
2022-11-23,10800.0,11217.0,24.4,2022,11,0,0,416.9999999999994,10279.751793168423
2022-11-10,11300.0,11562.0,26.7,2022,11,0,0,261.9999999999998,11145.988547107949
2022-11-09,11500.0,11731.0,27.2,2022,11,0,0,230.99999999999983,11279.69445666274
2022-11-08,11800.0,11840.0,27.1,2022,11,0,0,39.99999999999978,11392.01274885976
2022-11-07,11600.0,11971.0,27.4,2022,11,0,0,371.00000000000006,11232.776738187184
2022-11-05,11800.0,12166.0,26.9,2022,11,0,0,366.00000000000006,11258.787673769017
2022-10-30,12799.999999999998,11892.0,27.4,2022,10,1,0,-908.0000000000005,11718.602187613382
2022-10-28,11000.0,11915.0,27.2,2022,10,1,1,914.9999999999994,11499.32580065043
2022-10-18,13800.0,12560.0,29.7,2022,10,1,0,-1240.0000000000002,13632.373186241084
2022-10-14,13200.0,12880.0,29.1,2022,10,1,1,-320.0000000000002,12956.291337609342
2022-10-03,13600.0,12621.0,27.6,2022,10,1,0,-979.0000000000005,11693.703917473122
2022-09-23,13700.0,13273.0,29.3,2022,9,1,1,-427.0000000000001,13109.358589111114
2022-09-19,14000.0,13908.0,29.9,2022,9,1,0,-92.0000000000002,13836.488401533376
2022-09-18,14000.0,14011.0,28.8,2022,9,1,0,11.00000000000004,13653.901043450816
2022-09-14,12500.0,14186.0,26.3,2022,9,1,0,1685.9999999999998,12011.862975211308
2022-08-24,14199.999999999998,14033.0,29.9,2022,8,1,0,-166.99999999999977,13983.788775890758
2022-08-22,14300.0,13663.0,30.9,2022,8,1,0,-637.0000000000005,14128.325289820164
2022-08-15,13600.0,13830.0,30.1,2022,8,1,0,230.00000000000023,13759.39826407988
2022-08-13,14700.0,13314.0,29.5,2022,8,1,0,-1386.0000000000005,13734.985486861986
2022-08-09,13600.0,13615.0,30.2,2022,8,1,0,14.999999999999917,13779.229146471413
2022-07-29,12799.999999999998,12994.0,31.0,2022,7,1,1,193.99999999999983,13518.773216978476
2022-07-25,14000.0,11831.0,28.4,2022,7,1,0,-2169.0,13798.109016777633
2022-07-19,14400.0,12482.0,30.8,2022,7,1,0,-1918.0,14064.740427219336
2022-07-05,14000.0,13070.0,30.8,2022,7,1,0,-930.0,13755.96238560168
2022-06-29,14000.0,14810.999999999998,29.5,2022,6,1,0,810.9999999999997,13920.227491083177
2022-06-27,13900.0,14960.000000000002,31.6,2022,6,1,0,1060.0000000000002,14096.527202254583
2022-06-24,12799.999999999998,14967.0,31.0,2022,6,1,1,2166.9999999999995,13513.914752888666
2022-06-23,13499.999999999998,14681.0,29.6,2022,6,1,0,1181.0,13745.522974780954
2022-06-15,14000.0,14134.0,29.8,2022,6,1,0,134.00000000000017,13534.748517796344
2022-06-13,14199.999999999998,14215.0,31.500000000000004,2022,6,1,0,14.999999999999917,13660.817196487782
2022-06-07,13900.0,14057.0,30.5,2022,6,1,0,156.99999999999935,13778.966907955186
2022-06-01,14000.0,14953.0,29.2,2022,6,1,0,953.0,13602.784757826954
2022-05-31,14000.0,15366.999999999998,30.0,2022,5,1,0,1366.9999999999995,13684.64184079121
2022-05-29,13800.0,14963.999999999998,30.3,2022,5,1,0,1163.9999999999995,13816.67783462566
2022-05-26,14000.0,14906.0,29.7,2022,5,1,0,906.0,13388.514391166627
2022-05-24,14199.999999999998,14668.0,30.7,2022,5,1,0,467.9999999999997,13986.924932578244
2022-05-16,14000.0,15519.0,30.9,2022,5,1,0,1518.9999999999995,13820.971657507756
2022-04-28,14600.0,15547.0,32.0,2022,4,1,0,946.9999999999994,14583.77248477062
2022-04-15,13800.0,15498.0,31.2,2022,4,1,1,1698.0,13845.5376363345
2022-04-04,14300.0,13695.0,30.9,2022,4,1,0,-605.0000000000005,14248.9506037891
2022-04-01,12900.0,14912.0,30.1,2022,4,1,1,2012.0,13467.060340778626
2022-03-30,13400.0,14560.0,29.8,2022,3,1,0,1160.0,13290.145063270063
2022-03-25,12600.0,13846.0,30.7,2022,3,1,1,1245.9999999999998,13558.901923708196
2022-03-24,13800.0,13801.0,30.7,2022,3,1,0,0.9999999999995938,13846.594548001178
2022-03-20,12900.0,13987.0,30.3,2022,3,1,0,1086.9999999999998,13570.607990487251
2022-02-26,10400.0,12615.0,25.9,2022,2,0,0,2215.0000000000005,10463.37666138898
2022-02-14,10000.000000000002,12576.0,21.8,2022,2,0,0,2575.9999999999995,10019.50664531406
2022-02-13,10300.0,12595.0,21.2,2022,2,0,0,2295.0,9975.69545142388
2022-02-07,9700.0,12267.0,19.5,2022,2,0,0,2567.0000000000005,9658.286344512846
2022-02-03,10200.0,12204.0,21.9,2022,2,0,0,2004.0000000000005,9460.134934782422
2022-02-02,10000.000000000002,11752.0,21.7,2022,2,0,0,1752.0,9460.134934782422
2022-02-01,10000.000000000002,12010.0,20.0,2022,2,0,0,2010.0,9381.019854937766
2022-01-27,10200.0,12140.0,20.0,2022,1,0,0,1940.0,9917.899207089482
2022-01-18,9900.0,12165.0,20.8,2022,1,0,0,2265.0,9968.876235928064
2022-01-15,9300.0,12072.0,20.7,2022,1,0,0,2772.0,9916.474594244704
2022-01-12,9850.0,11250.0,21.9,2022,1,0,0,1400.0000000000002,9852.306107234532
2022-01-06,9500.0,12473.0,19.9,2022,1,0,0,2973.0,9558.522207323336
2021-12-25,9200.0,13034.0,22.3,2021,12,0,0,3834.000000000001,9576.093027584218
2021-12-24,8299.999999999998,12635.0,21.6,2021,12,0,1,4335.0,8356.41554444726
2021-12-20,9200.0,12929.0,19.8,2021,12,0,0,3729.000000000001,9344.357734452822
2021-12-08,9700.0,13060.0,24.3,2021,12,0,0,3359.9999999999995,9150.456376949463
2021-12-01,9600.0,13760.0,25.2,2021,12,0,0,4160.0,10157.7640767193
2021-11-20,9200.0,14514.0,25.5,2021,11,0,0,5314.0,9822.83268969836
2021-11-16,9800.0,13864.0,25.1,2021,11,0,0,4064.0,9854.17058687581
2021-11-15,9300.0,13663.0,23.8,2021,11,0,0,4363.0,9414.975578482492
2021-11-11,10500.0,14075.0,26.7,2021,11,0,0,3575.0,10258.395329794585
2021-11-03,10500.0,14571.0,27.0,2021,11,0,0,4071.000000000001,11108.631954695387
2021-10-30,11700.0,14749.0,28.5,2021,10,1,0,3049.0,12278.258736931655
2021-10-25,12000.0,15056.999999999998,28.6,2021,10,1,0,3057.0,12203.291117486424
2021-10-20,11500.0,14569.0,27.8,2021,10,1,0,3069.0,12198.881452895102
2021-10-19,12000.0,14534.0,27.0,2021,10,1,0,2533.9999999999995,11664.885232926275
2021-10-15,12900.0,14700.0,30.8,2021,10,1,1,1800.0,12591.663762050066
2021-10-12,13800.0,14350.0,30.8,2021,10,1,0,550.0,13549.767812910924
2021-10-05,12500.0,14860.0,28.4,2021,10,1,0,2360.0,12281.819837555306
2021-10-01,12799.999999999998,14891.0,30.8,2021,10,1,1,2090.9999999999995,12452.97098716326
2021-09-25,13200.0,14937.999999999998,29.9,2021,9,1,0,1737.9999999999998,13313.25136315135
2021-09-21,13200.0,14620.0,28.3,2021,9,1,0,1420.0000000000002,12792.180311199316
2021-09-17,12900.0,14721.0,29.3,2021,9,1,1,1821.0,12155.878017090705
2021-09-10,12500.0,14238.0,31.0,2021,9,1,1,1737.9999999999998,12479.090241043708
2021-09-06,13800.0,14280.0,30.4,2021,9,1,0,479.9999999999994,13347.56068247673
2021-09-04,13000.0,14697.0,30.1,2021,9,1,0,1696.9999999999998,13341.928588617022
2021-09-01,13499.999999999998,14170.0,29.2,2021,9,1,0,669.9999999999998,12895.631877505406
2021-08-26,13000.0,14669.0,28.4,2021,8,1,0,1668.9999999999998,12757.711065031326
2021-08-21,12400.0,15250.0,29.0,2021,8,1,0,2849.999999999999,13001.923529733218
2021-08-14,12600.0,15200.0,29.5,2021,8,1,0,2599.9999999999995,13145.681621066884
2021-08-08,13200.0,14931.000000000002,29.4,2021,8,1,0,1730.9999999999995,12935.65148539187
