Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2024-05-05,15000,30.4,0,69.1,35.1
2024-05-04,15500,32.0,0,64.1,37.4
2024-05-03,16000,31.2,1,62.6,34.7
2024-05-02,17000,33.2,0,57.8,38.5
2024-05-01,16200,33.6,0,59.2,39.2
2024-04-30,17300,33.0,0,67.7,41.7
2024-04-29,17200,33.8,0,62.0,40.9
2024-04-28,16900,33.0,0,68.3,41.6
2024-04-27,16600,32.2,0,69.2,39.9
2024-04-26,16000,32.6,1,67.8,40.0
2024-04-25,16800,33.2,0,56.8,37.9
2024-04-24,16800,33.2,0,52.6,36.8
2024-04-23,16800,32.8,0,62.5,38.6
2024-04-22,16200,32.7,0,65.9,39.7
2024-04-21,16200,32.5,0,67.9,40.1
2024-04-20,15500,33.3,0,59.6,38.4
2024-04-19,14800,32.4,1,63.2,37.7
2024-04-18,15000,30.2,0,68.8,34.6
2024-04-17,14700,29.7,0,72.1,34.6
2024-04-16,15000,30.5,0,60.1,33.2
2024-04-15,14000,32.0,0,56.97142857142857,33.3
2024-04-14,12800,31.1,0,50.6,32.7
2024-04-13,12800,31.0,0,50.8,32.3
2024-04-12,11800,31.0,1,49.7,31.9
2024-04-11,11300,29.6,0,60.5,31.0
2024-04-10,12800,29.0,0,64.9,31.0
2024-04-09,12500,28.2,0,58.0,28.8
2024-04-08,14300,27.3,0,67.3,28.7
2024-04-07,15200,28.5,0,75.4,32.8
2024-04-06,15500,31.0,0,70.5,36.7
2024-04-05,15300,29.5,1,79.8,36.1
2024-04-04,15000,30.2,0,71.5,35.4
2024-04-03,15300,30.6,0,69.0,35.4
2024-04-02,14700,29.9,0,67.3,32.8
2024-04-01,14200,30.2,0,63.1,32.4
2024-03-31,13800,27.5,0,73.9,30.0
2024-03-30,12500,29.2,0,77.9,33.7
2024-03-29,11200,26.8,1,77.2,28.7
2024-03-28,13300,26.2,0,75.1,27.5
2024-03-27,12700,27.0,0,73.0,28.6
2024-03-26,11500,26.9,0,65.1,27.6
2024-03-25,12500,26.6,0,75.1,28.7
2024-03-24,12200,24.4,0,78.8,25.3
2024-03-23,12000,25.7,0,66.4,25.8
2024-03-22,10700,23.4,1,70.0,23.4
2024-03-21,11500,22.5,0,75.7,22.5
2024-03-20,12500,23.3,0,74.9,23.3
2024-03-19,13600,26.7,0,63.9,26.9
2024-03-18,13300,27.9,0,60.4,28.5
2024-03-17,12800,27.3,0,60.3,27.8
2024-03-16,12600,28.1,0,65.4,28.9
2024-03-15,11800,27.4,1,64.2,27.8
2024-03-14,13000,26.8,0,76.5,28.1
2024-03-13,12700,28.2,0,57.7,28.2
2024-03-12,12700,26.5,0,54.5,26.7
2024-03-11,12300,25.0,0,48.2,24.6
2024-03-10,12300,23.9,0,48.40000000000001,23.5
2024-03-09,11600,24.0,0,49.295918367346935,23.7
2024-03-08,11000,23.9,1,49.453061224489794,23.6
2024-03-07,12250,23.5,0,49.214285714285715,23.2
2024-03-06,12300,23.6,0,50.628571428571426,23.4
2024-03-05,12000,25.4,0,55.6,25.1
2024-03-04,12000,24.1,0,62.7,24.2
2024-03-03,11800,24.9,0,53.5,24.7
2024-03-02,11300,24.3,0,48.5,23.9
2024-03-01,11000,24.7,1,50.6,24.3
2024-02-29,11600,24.4,0,55.7,24.2
2024-02-28,11500,24.0,0,50.0,23.7
2024-02-27,11400,22.9,0,51.9,22.8
2024-02-26,10000,22.5,0,51.8,22.3
2024-02-25,11500,22.2,0,59.7,22.2
2024-02-24,11250,23.5,0,65.2,23.5
2024-02-23,10500,22.5,1,71.8,22.5
2024-02-22,11000,23.8,0,79.9,24.1
2024-02-21,11000,25.7,0,67.8,25.9
2024-02-20,11700,23.9,0,75.0,24.3
2024-02-19,11500,23.4,0,60.0,23.4
2024-02-18,11400,22.4,0,61.2,22.2
2024-02-17,11000,22.6,0,61.3,22.6
2024-02-16,10300,23.8,1,63.1,23.7
2024-02-15,11000,23.9,0,62.0,24.0
2024-02-14,11000,22.5,0,59.5,22.4
2024-02-13,11300,22.1,0,50.7,21.8
2024-02-12,11500,22.1,0,54.4,21.9
2024-02-11,11000,21.3,0,59.6,21.2
2024-02-10,10800,20.5,0,59.9,20.5
2024-02-09,10000,19.4,1,52.2,19.4
2024-02-08,11200,19.4,0,56.4,19.4
2024-02-07,11000,21.2,0,61.2,21.2
2024-02-06,10900,21.4,0,67.6,21.4
2024-02-05,10900,21.0,0,59.9,21.0
2024-02-04,10800,20.6,0,60.4,20.6
2024-02-03,10300,21.1,0,64.0,21.1
2024-02-02,10300,21.5,1,76.5,21.5
2024-02-01,10850,21.3,0,73.6,21.3
2024-01-29,10700,18.2,0,58.7,18.2
2024-01-27,10000,18.979999999999997,0,65.1,17.4
2024-01-26,9700,18.6,1,71.5,18.6
2024-01-25,10800,18.4,0,79.4,18.4
2024-01-24,10800,17.53,0,80.8,16.9
2024-01-23,10600,18.026999999999997,0,81.1,15.8
2024-01-22,10800,17.848000000000003,0,84.1,14.0
2024-01-21,10900,17.592,0,79.7,17.0
2024-01-20,10600,17.7,0,78.8,17.7
2024-01-19,10300,19.4,1,73.3,19.4
