File_Name,Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
6249report.pdf,10.06.22,13841,14349,12700,14349
6280report.pdf,26.06.22,13380,14920,14000,14920
4766report.pdf,02.06.20,11700,14765,11000,14765
7286report.pdf,11.11.23,11963,13557,11000,13557
5283report.pdf,15.02.21,12019,13360,9500,13360
5884report.pdf,13.12.21,11768,13104,9600,13104
5556report.pdf,02.07.21,14143,15193,11000,15193
5626report.pdf,06.08.21,14119,14744,11700,14744
7623report.pdf,25.04.24,16463,17492,16800,17492
5410report.pdf,20.04.21,14926,15739,13300,15739
7415report.pdf,14.01.24,10476,11400,10600,11400
7401report.pdf,07.01.24,10100,12011,9000,12011
5404report.pdf,17.04.21,15075,15995,13000,15995
5318report.pdf,05.03.21,13714,14581,9600,14581
summary_20241213_20241217101545.pdf,13.12.24,12722,13521,10000,13521
5632report.pdf,09.08.21,14060,14879,13000,14879
summary_20240830_20240901104436.pdf,30.08.24,15032,16003,14000,16003
5068report.pdf,31.10.20,13867,14948,12000,14948
5542report.pdf,25.06.21,14861,15711,11800,15711
5890report.pdf,16.12.21,11807,13138,8600,13138
5859report.pdf,30.11.21,12509,13923,9300,13923
7292report.pdf,14.11.23,12063,14223,12000,14223
4772report.pdf,05.06.20,12511,15065,9000,15065
6893report.pdf,28.04.23,11725,14443,11000,14443
4896report.pdf,06.08.20,13348,14508,11300,14508
6631report.pdf,18.12.22,8479,11117,10200,11117
4402report.pdf,01.12.19,11302,13747,9100,13747
5012report.pdf,03.10.20,13052,13893,11800,13893
5538report.pdf,23.06.21,14655,15715,13000,15715
5823report.pdf,13.11.21,12741,14233,10500,14233
5224report.pdf,17.01.21,12170,13353,9500,13353
7221report.pdf,09.10.23,13072,15582,14500,15582
7198report.pdf,28.09.23,14958,16878,14500,16878
summary_20241124_20241124124853.pdf,24.11.24,12657,13187,11000,13187
5154report.pdf,13.12.20,11751,13407,9200,13407
5362report.pdf,27.03.21,15163,15935,12400,15935
5648report.pdf,17.08.21,14065,15255,13000,15255
4963report.pdf,08.09.20,14390,15199,12000,15199
6011report.pdf,13.02.22,11879,12595,10300,12595
7558report.pdf,24.03.24,11733,13210,12200,13210
7591report.pdf,09.04.24,14642,15580,12500,15580
5846report.pdf,24.11.21,12259,13553,10300,13553
5594report.pdf,21.07.21,13814,14844,11500,14844
5131report.pdf,02.12.20,13072,14425,9200,14425
7628report.pdf,28.04.24,16160,17213,16900,17213
summary_20240801_20240801134949.pdf,01.08.24,13772,15671,15500,15671
6304report.pdf,08.07.22,12681,14002,12500,14002
summary_20240831_20240901113550.pdf,31.08.24,15839,16656,15000,16656
6903report.pdf,03.05.23,13166,14712,14500,14712
4906report.pdf,11.08.20,13808,14803,12500,14803
summary_20240826_20240827130328.pdf,26.08.24,14764,15434,12800,15434
6418report.pdf,03.09.22,12107,14460,14200,14460
6132report.pdf,15.04.22,14607,15498,13800,15498
6242report.pdf,07.06.22,13516,14057,13900,14057
6074report.pdf,17.03.22,13217,13674,12400,13674
6597report.pdf,01.12.22,9737,11784,10500,11784
4840report.pdf,09.07.20,13290,15103,12300,15103
summary_20241220_20241222133537.pdf,21.12.24,13239,13812,9200,13812
6845report.pdf,04.04.23,12771,14131,12800,14131
5461report.pdf,15.05.21,13777,14686,11000,14686
5182report.pdf,27.12.20,12302,13547,9000,13547
7187report.pdf,22.09.23,14346,16072,13000,16072
7464report.pdf,06.02.24,10021,10995,10900,10995
7652report.pdf,10.05.24,14372,16632,12000,16632
7522report.pdf,06.03.24,13118,13503,12300,13503
7008report.pdf,25.06.23,12164,14080,14800,14080
6238report.pdf,05.06.22,13861,15361,14000,15361
6524report.pdf,26.10.22,9827,12433,12900,12433
summary_20240714_20240714143220.pdf,14.07.24,15600,16746,15900,16746
6462report.pdf,25.09.22,11819,13016,14000,13016
6181report.pdf,07.05.22,15230,16170,12000,16170
6148report.pdf,23.04.22,14594,15004,12000,15004
4968report.pdf,11.09.20,13847,14997,11500,14997
6689report.pdf,16.01.23,8659,9640,10100,9640
summary_20241001_20241001124855.pdf,01.10.24,14085,15299,15200,15299
5705report.pdf,14.09.21,13540,14230,13500,14230
5019report.pdf,06.10.20,13446,14288,12400,14288
7536report.pdf,13.03.24,11960,13474,12700,13474
5828report.pdf,15.11.21,12163,13663,9300,13663
7193report.pdf,25.09.23,14160,16267,14400,16267
5196report.pdf,02.01.21,11285,12675,9000,12675
5475report.pdf,22.05.21,14470,15750,13000,15750
6851report.pdf,07.04.23,12540,14350,13000,14350
6583report.pdf,24.11.22,9438,11106,10500,11106
4854report.pdf,16.07.20,13433,14868,12500,14868
summary_20240922_20240922141147.pdf,22.09.24,14773,15760,15900,15760
4912report.pdf,14.08.20,14050,15040,11900,15040
6126report.pdf,12.04.22,14690,15460,14200,15460
6917report.pdf,10.05.23,13200,14761,15600,14761
6310report.pdf,11.07.22,12525,14080,12800,14080
summary_20241128_20241201100715.pdf,28.11.24,13305,13564,10800,13564
5313report.pdf,02.03.21,13029,13896,11200,13896
5914report.pdf,28.12.21,11433,12361,9800,12361
7120report.pdf,20.08.23,12022,14191,15200,14191
summary_20241121_20241124104307.pdf,21.11.24,12703,13298,11000,13298
5255report.pdf,01.02.21,11864,12962,9200,12962
5580report.pdf,14.07.21,13980,15171,13000,15171
6382report.pdf,16.08.22,11734,13950,14200,13950
6661report.pdf,02.01.23,8553,10145,9800,10145
6457report.pdf,22.09.22,12481,14218,14200,14218
4980report.pdf,17.09.20,12778,13758,12500,13758
5512report.pdf,10.06.21,14491,15487,13500,15487
5454report.pdf,12.05.21,14545,15766,11000,15766
7498report.pdf,23.02.24,10951,11832,10500,11832
5986report.pdf,01.02.22,11235,12010,10000,12010
5348report.pdf,20.03.21,14649,15689,11300,15689
5662report.pdf,24.08.21,13742,14679,13000,14679
summary_20241015_20241015212248.pdf,15.10.24,13394,14693,14400,14693
7667report.pdf,17.05.24,15258,16717,15600,16717
6277report.pdf,24.06.22,13559,14967,12800,14967
6041report.pdf,28.02.22,11896,12463,10400,12463
6870report.pdf,17.04.23,13140,15160,16000,15160
6331report.pdf,21.07.22,11640,12570,14200,12570
summary_20240710_20240710141813.pdf,10.07.24,14436,15794,15800,15794
7101report.pdf,10.08.23,12502,14472,14400,14472
5332report.pdf,12.03.21,14224,15147,10900,15147
5618report.pdf,02.08.21,14106,14930,12000,14930
7337report.pdf,06.12.23,11563,12216,11000,12216
7047report.pdf,14.07.23,13589,15651,14000,15651
5568report.pdf,08.07.21,13849,15050,12000,15050
