ReportDate,IsHoliday,DayOfWeek,ProbableMaxDemand_MW_Forecast,ProbableMaxGeneration_MW_Forecast,GrossTotal_ProbableDayPeakGeneration_MW,GrossTotal_ProbableEveningPeakGeneration_MW
2021-06-04,Yes,Friday,12000.0,16011.0,15099.0,16011.0
2021-06-05,No,Saturday,12800.0,15570.0,14553.0,15570.0
2021-06-06,No,Sunday,13500.0,15748.0,14791.0,15748.0
2021-06-07,No,Monday,13200.0,15246.0,13980.0,15246.0
2021-06-08,No,Tuesday,11500.0,15420.0,14053.0,15420.0
2021-06-09,No,Wednesday,13000.0,15482.0,14466.0,15482.0
2021-06-10,No,Thursday,13500.0,15487.0,14491.0,15487.0
2021-06-11,Yes,Friday,12000.0,15511.0,14509.0,15511.0
2021-06-12,No,Saturday,13700.0,15539.0,14057.0,15539.0
2021-06-13,No,Sunday,13500.0,15227.0,14266.0,15227.0
2021-06-14,No,Monday,13000.0,14863.0,13887.0,14863.0
2021-06-15,No,Tuesday,13000.0,14854.0,13929.0,14854.0
2021-06-16,No,Wednesday,12800.0,14580.0,13615.0,14580.0
2021-06-17,No,Thursday,12000.0,14897.0,14012.0,14897.0
2021-06-18,Yes,Friday,11000.0,13960.0,13085.0,13960.0
2021-06-19,No,Saturday,12700.0,15411.0,14478.0,15411.0
2021-06-20,No,Sunday,11800.0,15190.0,14247.0,15190.0
2021-06-21,No,Monday,12900.0,15113.0,14187.0,15113.0
2021-06-22,No,Tuesday,12500.0,15299.0,13903.0,15299.0
2021-06-23,No,Wednesday,13000.0,15715.0,14655.0,15715.0
2021-06-24,No,Thursday,13200.0,15802.0,14828.0,15802.0
2021-06-25,Yes,Friday,11800.0,15711.0,14861.0,15711.0
2021-06-26,No,Saturday,12800.0,15598.0,14712.0,15598.0
2021-06-27,No,Sunday,13600.0,15612.0,14253.0,15612.0
2021-06-28,No,Monday,13400.0,15566.0,14366.0,15566.0
2021-06-29,No,Tuesday,13000.0,15524.0,14589.0,15524.0
2021-06-30,No,Wednesday,12800.0,15304.0,14476.0,15304.0
2021-07-01,No,Thursday,11500.0,15390.0,14650.0,15390.0
2021-07-02,Yes,Friday,11000.0,15193.0,14143.0,15193.0
2021-07-03,No,Saturday,12400.0,15430.0,14203.0,15430.0
2021-07-04,No,Sunday,12000.0,15507.0,14134.0,15507.0
2021-07-05,No,Monday,12500.0,15216.0,13869.0,15216.0
2021-07-06,No,Tuesday,13000.0,14980.0,13780.0,14980.0
2021-07-07,No,Wednesday,12600.0,14924.0,13739.0,14924.0
2021-07-08,No,Thursday,12000.0,15050.0,13849.0,15050.0
2021-07-09,Yes,Friday,11900.0,15105.0,13884.0,15105.0
2021-07-10,No,Saturday,12700.0,15299.0,14144.0,15299.0
2021-07-11,No,Sunday,13300.0,15385.0,14200.0,15385.0
2021-07-12,No,Monday,13500.0,15270.0,14163.0,15270.0
2021-07-13,No,Tuesday,13400.0,15331.0,14245.0,15331.0
2021-07-14,No,Wednesday,13000.0,15171.0,13980.0,15171.0
2021-07-15,No,Thursday,13700.0,15387.0,14095.0,15387.0
2021-07-16,Yes,Friday,12800.0,15407.0,14606.0,15407.0
2021-07-17,No,Saturday,13300.0,15427.0,14484.0,15427.0
2021-07-18,No,Sunday,13300.0,15478.0,14535.0,15478.0
2021-07-19,No,Monday,13000.0,14920.0,13967.0,14920.0
2021-07-20,No,Tuesday,10600.0,15283.0,14087.0,15283.0
2021-07-21,No,Wednesday,11500.0,14844.0,13814.0,14844.0
2021-07-22,No,Thursday,11500.0,14542.0,13512.0,14542.0
2021-07-23,Yes,Friday,12700.0,15144.0,14308.0,15144.0
2021-07-24,No,Saturday,12800.0,15185.0,14325.0,15185.0
2021-07-25,No,Sunday,11500.0,15089.0,14225.0,15089.0
2021-07-26,No,Monday,12200.0,15180.0,14290.0,15180.0
2021-07-27,No,Tuesday,11500.0,15430.0,14610.0,15430.0
2021-07-28,No,Wednesday,11000.0,14994.0,14147.0,14994.0
2021-07-29,No,Thursday,10000.0,14733.0,13962.0,14733.0
2021-07-30,Yes,Friday,9500.0,14813.0,14021.0,14813.0
2021-07-31,No,Saturday,11000.0,14980.0,14180.0,14980.0
2021-08-01,No,Sunday,12000.0,15220.0,14453.0,15220.0
2021-08-02,No,Monday,12000.0,14930.0,14106.0,14930.0
2021-08-03,No,Tuesday,13000.0,14863.0,14106.0,14863.0
2021-08-04,No,Wednesday,12400.0,14448.0,13784.0,14448.0
2021-08-05,No,Thursday,13000.0,14619.0,13980.0,14619.0
2021-08-06,Yes,Friday,11700.0,14744.0,14119.0,14744.0
2021-08-07,No,Saturday,12700.0,14902.0,14258.0,14902.0
2021-08-08,No,Sunday,13200.0,14931.0,14454.0,14931.0
2021-08-09,No,Monday,13000.0,14879.0,14060.0,14879.0
2021-08-10,No,Tuesday,13000.0,14879.0,14060.0,14879.0
2021-08-11,No,Wednesday,13000.0,14895.0,13821.0,14895.0
2021-08-12,No,Thursday,13000.0,14945.0,14310.0,14945.0
2021-08-13,Yes,Friday,12800.0,15044.0,14226.0,15044.0
2021-08-14,No,Saturday,12600.0,15200.0,14225.0,15200.0
2021-08-15,Yes,Sunday,12500.0,15185.0,14195.0,15185.0
2021-08-16,No,Monday,13200.0,15036.0,14084.0,15036.0
2021-08-17,No,Tuesday,13000.0,15255.0,14065.0,15255.0
2021-08-18,No,Wednesday,13100.0,15431.0,14417.0,15431.0
2021-08-19,No,Thursday,12800.0,14777.0,13818.0,14777.0
2021-08-20,Yes,Friday,12200.0,14924.0,13832.0,14924.0
2021-08-21,No,Saturday,12400.0,15250.0,14223.0,15250.0
