Report Date,Zone,Generation(MW)
2024-12-04,Barishal,2340
2024-12-04,Rangpur,948
2024-12-04,Dhaka,28
2024-12-04,Cumilla,3211
2024-12-03,Sylhet,2805
2024-12-03,Dhaka,27
2024-12-03,Chattogram,4909
2024-12-03,Barishal,2340
2024-12-03,Rajshahi,3490
2024-12-03,Rangpur,948
2024-12-03,Khulna,2691
2024-12-03,Cumilla,3331
2024-12-03,Mymensing,491
2024-12-02,Sylhet,2710
2024-12-02,Khulna,2731
2024-12-02,Chattogram,5054
2024-12-02,Cumilla,3298
2024-12-02,Dhaka,26
2024-12-02,Barishal,2350
2024-12-02,Rajshahi,3698
2024-12-02,Rangpur,947
2024-12-02,Mymensing,512
2024-12-01,Rajshahi,3753
2024-12-01,Barishal,2350
2024-12-01,Rangpur,941
2024-12-01,Khulna,2781
2024-12-01,Sylhet,2700
2024-12-01,Mymensing,512
2024-12-01,Cumilla,3278
2024-12-01,Chattogram,6016
2024-12-01,Dhaka,25
2024-11-30,Rajshahi,3758
2024-11-30,Chattogram,4874
2024-11-30,Dhaka,58
2024-11-30,Mymensing,517
2024-11-30,Khulna,3669
2024-11-30,Barishal,2350
2024-11-30,Sylhet,2797
2024-11-30,Cumilla,3293
2024-11-30,Rangpur,951
2024-11-29,Cumilla,3309
2024-11-29,Dhaka,57
2024-11-29,Chattogram,4963
2024-11-29,Rajshahi,3867
2024-11-29,Barishal,2350
2024-11-29,Mymensing,532
2024-11-29,Khulna,3715
2024-11-29,Sylhet,2946
2024-11-29,Rangpur,951
2024-11-28,Mymensing,532
2024-11-28,Cumilla,3264
2024-11-28,Barishal,2350
2024-11-28,Rajshahi,3873
2024-11-28,Rangpur,951
2024-11-28,Chattogram,4509
2024-11-28,Khulna,3707
2024-11-28,Dhaka,52
2024-11-28,Sylhet,2946
2024-11-27,Khulna,3706
2024-11-27,Rangpur,941
2024-11-27,Mymensing,532
2024-11-27,Dhaka,51
2024-11-27,Rajshahi,3877
2024-11-27,Chattogram,4885
2024-11-27,Cumilla,3275
2024-11-27,Sylhet,2885
2024-11-27,Barishal,2776
2024-11-26,Chattogram,3699
2024-11-26,Dhaka,50
2024-11-26,Cumilla,3145
2024-11-26,Sylhet,2885
2024-11-26,Khulna,3906
2024-11-26,Barishal,2776
2024-11-26,Rajshahi,3902
2024-11-26,Rangpur,1081
2024-11-26,Mymensing,526
2024-11-25,Cumilla,3099
2024-11-25,Mymensing,602
2024-11-25,Rangpur,1085
2024-11-25,Sylhet,2883
