PreviousReportDate,Actual_MaxDemandEvePeak_MW,Actual_EveningPeakGeneration_MW,Actual_HighestGeneration_MW,Actual_DayPeakDemand_MW,Actual_DayPeakGeneration_MW,Actual_MinimumGeneration_MW,Dhaka_Actual_Demand_MW,Dhaka_Actual_Supply_MW,Dhaka_Actual_LoadShed_MW,Chattogram_Actual_Demand_MW,Chattogram_Actual_Supply_MW,Chattogram_Actual_LoadShed_MW,Sylhet_Actual_Demand_MW,Sylhet_Actual_Supply_MW,Sylhet_Actual_LoadShed_MW,Khulna_Actual_Demand_MW,Khulna_Actual_Supply_MW,Khulna_Actual_LoadShed_MW,Barishal_Actual_Demand_MW,Barishal_Actual_Supply_MW,Barishal_Actual_LoadShed_MW,Rajshahi_Actual_Demand_MW,Rajshahi_Actual_Supply_MW,Rajshahi_Actual_LoadShed_MW,Rangpur_Actual_Demand_MW,Rangpur_Actual_Supply_MW,Rangpur_Actual_LoadShed_MW
2020-01-06,,8575.0,8575.0,,6578.48,5117.0,2929.0,2929.0,0.0,905.0,905.0,0.0,307.0,307.0,0.0,1014.0,1014.0,0.0,233.0,233.0,0.0,1014.0,1014.0,0.0,233.0,233.0,0.0
2020-01-07,,8584.0,8584.0,,6668.0,5125.0,2856.0,2856.0,0.0,910.0,910.0,0.0,319.0,319.0,0.0,1041.0,1041.0,0.0,235.0,235.0,0.0,1041.0,1041.0,0.0,235.0,235.0,0.0
2020-01-08,,8689.0,8689.0,,6792.8,5183.0,2895.0,2895.0,0.0,933.0,933.0,0.0,329.0,329.0,0.0,1033.0,1033.0,0.0,235.0,235.0,0.0,1033.0,1033.0,0.0,235.0,235.0,0.0
2020-01-09,,8484.0,8484.0,,6845.31,5190.0,2926.0,2926.0,0.0,839.0,839.0,0.0,323.0,323.0,0.0,1000.0,1000.0,0.0,236.0,236.0,0.0,1000.0,1000.0,0.0,236.0,236.0,0.0
2020-01-10,,7680.0,7680.0,,5895.79,5055.0,2428.0,2428.0,0.0,724.0,724.0,0.0,301.0,301.0,0.0,914.0,914.0,0.0,215.0,215.0,0.0,914.0,914.0,0.0,215.0,215.0,0.0
2020-01-11,,8653.0,8653.0,,6786.02,4780.0,2856.0,2856.0,0.0,901.0,901.0,0.0,319.0,319.0,0.0,1024.0,1024.0,0.0,232.0,232.0,0.0,1024.0,1024.0,0.0,232.0,232.0,0.0
2020-01-12,,8561.0,8561.0,,6493.12,5133.0,2736.0,2736.0,0.0,915.0,915.0,0.0,319.0,319.0,0.0,1038.0,1038.0,0.0,235.0,235.0,0.0,1038.0,1038.0,0.0,235.0,235.0,0.0
2020-01-13,,8827.0,8827.0,,6893.3,5029.0,2970.0,2970.0,0.0,913.0,913.0,0.0,316.0,316.0,0.0,1025.0,1025.0,0.0,228.0,228.0,0.0,1025.0,1025.0,0.0,228.0,228.0,0.0
2020-01-14,,8727.0,8727.0,,7100.66,5219.0,2984.0,2984.0,0.0,912.0,912.0,0.0,321.0,321.0,0.0,1055.0,1055.0,0.0,238.0,238.0,0.0,1055.0,1055.0,0.0,238.0,238.0,0.0
2020-01-15,,8762.0,8762.0,,7023.0,5294.0,2905.0,2905.0,0.0,934.0,934.0,0.0,317.0,317.0,0.0,1026.0,1026.0,0.0,242.0,242.0,0.0,1026.0,1026.0,0.0,242.0,242.0,0.0
2020-01-16,,8908.0,8908.0,,6946.52,5284.0,3042.0,3042.0,0.0,906.0,906.0,0.0,319.0,319.0,0.0,1060.0,1060.0,0.0,236.0,236.0,0.0,1060.0,1060.0,0.0,236.0,236.0,0.0
2020-01-17,,7918.0,7918.0,,6165.1,5446.0,2482.0,2482.0,0.0,824.0,824.0,0.0,310.0,310.0,0.0,975.0,975.0,0.0,230.0,230.0,0.0,975.0,975.0,0.0,230.0,230.0,0.0
2020-01-18,,8805.0,8805.0,,6586.38,5109.0,2990.0,2990.0,0.0,933.0,933.0,0.0,331.0,331.0,0.0,1059.0,1059.0,0.0,240.0,240.0,0.0,1059.0,1059.0,0.0,240.0,240.0,0.0
2020-01-19,,8978.0,8978.0,,7148.7,5472.0,3037.0,3037.0,0.0,843.0,843.0,0.0,315.0,315.0,0.0,1056.0,1056.0,0.0,244.0,244.0,0.0,1056.0,1056.0,0.0,244.0,244.0,0.0
2020-01-20,,8959.0,8959.0,,7042.4,5518.0,3047.0,3047.0,0.0,925.0,925.0,0.0,327.0,327.0,0.0,1061.0,1061.0,0.0,241.0,241.0,0.0,1061.0,1061.0,0.0,241.0,241.0,0.0
2020-01-21,,9009.0,9009.0,,6999.4,5479.0,2978.0,2978.0,0.0,926.0,926.0,0.0,322.0,322.0,0.0,1075.0,1075.0,0.0,237.0,237.0,0.0,1075.0,1075.0,0.0,237.0,237.0,0.0
2020-01-22,,9076.0,9076.0,,7107.6,5382.0,3049.0,3049.0,0.0,861.0,861.0,0.0,322.0,322.0,0.0,1064.0,1064.0,0.0,238.0,238.0,0.0,1064.0,1064.0,0.0,238.0,238.0,0.0
2020-01-23,,8895.0,8895.0,,7266.0,5486.0,2950.0,2950.0,0.0,885.0,885.0,0.0,321.0,321.0,0.0,1053.0,1053.0,0.0,233.0,233.0,0.0,1053.0,1053.0,0.0,233.0,233.0,0.0
2020-01-24,,8121.0,8121.0,,6011.76,5530.0,2431.0,2431.0,0.0,824.0,824.0,0.0,313.0,313.0,0.0,1007.0,1007.0,0.0,232.0,232.0,0.0,1007.0,1007.0,0.0,232.0,232.0,0.0
2020-01-25,,8866.0,8866.0,,6786.0,5130.0,2854.0,2854.0,0.0,861.0,861.0,0.0,324.0,324.0,0.0,1053.0,1053.0,0.0,221.0,221.0,0.0,1053.0,1053.0,0.0,221.0,221.0,0.0
2020-01-26,,9019.0,9019.0,,7308.5,5567.0,2952.0,2952.0,0.0,861.0,861.0,0.0,311.0,311.0,0.0,1056.0,1056.0,0.0,250.0,250.0,0.0,1056.0,1056.0,0.0,250.0,250.0,0.0
2020-01-27,,9068.0,9068.0,,7191.55,5589.0,3100.0,3100.0,0.0,912.0,912.0,0.0,329.0,329.0,0.0,1074.0,1074.0,0.0,227.0,227.0,0.0,1074.0,1074.0,0.0,227.0,227.0,0.0
2020-01-28,,9196.0,9196.0,,7366.5,5559.0,3011.0,3011.0,0.0,917.0,917.0,0.0,310.0,310.0,0.0,1066.0,1066.0,0.0,234.0,234.0,0.0,1066.0,1066.0,0.0,234.0,234.0,0.0
2020-01-29,,9223.0,9223.0,,7607.44,5736.0,3046.0,3046.0,0.0,959.0,959.0,0.0,317.0,317.0,0.0,1029.0,1029.0,0.0,225.0,225.0,0.0,1029.0,1029.0,0.0,225.0,225.0,0.0
2020-01-30,,9077.0,9077.0,,7826.5,5792.0,2931.0,2931.0,0.0,941.0,941.0,0.0,319.0,319.0,0.0,1036.0,1036.0,0.0,226.0,226.0,0.0,1036.0,1036.0,0.0,226.0,226.0,0.0
2020-01-31,,8250.0,8250.0,,6681.08,5662.0,2438.0,2438.0,0.0,874.0,874.0,0.0,310.0,310.0,0.0,979.0,979.0,0.0,222.0,222.0,0.0,979.0,979.0,0.0,222.0,222.0,0.0
2020-02-01,,8731.0,8731.0,,6394.33,5350.0,2652.0,2652.0,0.0,831.0,831.0,0.0,322.0,322.0,0.0,1065.0,1065.0,0.0,220.0,220.0,0.0,1065.0,1065.0,0.0,220.0,220.0,0.0
2020-02-02,,8940.0,8940.0,,7275.68,5467.0,2899.0,2899.0,0.0,856.0,856.0,0.0,323.0,323.0,0.0,1037.0,1037.0,0.0,220.0,220.0,0.0,1037.0,1037.0,0.0,220.0,220.0,0.0
2020-02-03,,8963.0,8963.0,,7767.27,5478.0,2989.0,2989.0,0.0,855.0,855.0,0.0,310.0,310.0,0.0,1083.0,1083.0,0.0,229.0,229.0,0.0,1083.0,1083.0,0.0,229.0,229.0,0.0
2020-02-04,,9126.0,9126.0,,7643.3,5498.0,3015.0,3015.0,0.0,869.0,869.0,0.0,314.0,314.0,0.0,1053.0,1053.0,0.0,227.0,227.0,0.0,1053.0,1053.0,0.0,227.0,227.0,0.0
2020-02-05,,9099.0,9099.0,,7404.26,5624.0,3018.0,3018.0,0.0,880.0,880.0,0.0,326.0,326.0,0.0,1062.0,1062.0,0.0,222.0,222.0,0.0,1062.0,1062.0,0.0,222.0,222.0,0.0
2020-02-06,,9132.0,9132.0,,7671.65,5573.0,3027.0,3027.0,0.0,901.0,901.0,0.0,312.0,312.0,0.0,1067.0,1067.0,0.0,220.0,220.0,0.0,1067.0,1067.0,0.0,220.0,220.0,0.0
2020-02-07,,8128.0,8128.0,,6397.7,5707.0,2396.0,2396.0,0.0,781.0,781.0,0.0,313.0,313.0,0.0,958.0,958.0,0.0,211.0,211.0,0.0,958.0,958.0,0.0,211.0,211.0,0.0
2020-02-08,,9014.0,9014.0,,7232.6,5180.0,2904.0,2904.0,0.0,814.0,814.0,0.0,334.0,334.0,0.0,1056.0,1056.0,0.0,222.0,222.0,0.0,1056.0,1056.0,0.0,222.0,222.0,0.0
2020-02-09,,9214.0,9214.0,,8035.0,5446.0,3043.0,3043.0,0.0,882.0,882.0,0.0,325.0,325.0,0.0,1056.0,1056.0,0.0,232.0,232.0,0.0,1056.0,1056.0,0.0,232.0,232.0,0.0
2020-02-10,,9172.0,9172.0,,7657.5,5725.0,2920.0,2920.0,0.0,926.0,926.0,0.0,316.0,316.0,0.0,1046.0,1046.0,0.0,223.0,223.0,0.0,1046.0,1046.0,0.0,223.0,223.0,0.0
2020-02-11,,9224.0,9224.0,,8030.57,5670.0,3014.0,3014.0,0.0,898.0,898.0,0.0,319.0,319.0,0.0,1061.0,1061.0,0.0,217.0,217.0,0.0,1061.0,1061.0,0.0,217.0,217.0,0.0
2020-02-12,,9305.0,9305.0,,8072.8,5734.0,3057.0,3057.0,0.0,907.0,907.0,0.0,326.0,326.0,0.0,1079.0,1079.0,0.0,229.0,229.0,0.0,1079.0,1079.0,0.0,229.0,229.0,0.0
2020-02-12,,9305.0,9305.0,,8072.8,5734.0,3057.0,3057.0,0.0,907.0,907.0,0.0,326.0,326.0,0.0,1079.0,1079.0,0.0,229.0,229.0,0.0,1079.0,1079.0,0.0,229.0,229.0,0.0
2020-02-14,,8313.0,8313.0,,6342.85,5702.0,2475.0,2475.0,0.0,857.0,857.0,0.0,308.0,308.0,0.0,976.0,976.0,0.0,227.0,227.0,0.0,976.0,976.0,0.0,227.0,227.0,0.0
2020-02-15,,9249.0,9265.0,,7846.4,5440.0,3082.0,3082.0,0.0,890.0,890.0,0.0,327.0,327.0,0.0,1055.0,1055.0,0.0,226.0,226.0,0.0,1055.0,1055.0,0.0,226.0,226.0,0.0
2020-02-16,,9127.0,9127.0,,7680.6,5738.0,3116.0,3116.0,0.0,942.0,942.0,0.0,333.0,333.0,0.0,1034.0,1034.0,0.0,216.0,216.0,0.0,1034.0,1034.0,0.0,216.0,216.0,0.0
2020-02-16,,9127.0,9127.0,,7680.6,5738.0,3116.0,3116.0,0.0,942.0,942.0,0.0,333.0,333.0,0.0,1034.0,1034.0,0.0,216.0,216.0,0.0,1034.0,1034.0,0.0,216.0,216.0,0.0
2020-02-18,,9361.0,9361.0,,7981.1,5914.0,3125.0,3125.0,0.0,950.0,950.0,0.0,323.0,323.0,0.0,1076.0,1076.0,0.0,221.0,221.0,0.0,1076.0,1076.0,0.0,221.0,221.0,0.0
2020-02-19,,9363.0,9363.0,,7773.48,5812.0,3151.0,3151.0,0.0,885.0,885.0,0.0,325.0,325.0,0.0,1076.0,1076.0,0.0,241.0,241.0,0.0,1076.0,1076.0,0.0,241.0,241.0,0.0
2020-02-20,,9349.0,9349.0,,8097.9,5920.0,3207.0,3207.0,0.0,867.0,867.0,0.0,331.0,331.0,0.0,1069.0,1069.0,0.0,224.0,224.0,0.0,1069.0,1069.0,0.0,224.0,224.0,0.0
2020-02-21,,8048.0,8048.0,,6904.2,5873.0,2346.0,2346.0,0.0,665.0,665.0,0.0,306.0,306.0,0.0,950.0,950.0,0.0,216.0,216.0,0.0,950.0,950.0,0.0,216.0,216.0,0.0
2020-02-22,,9422.0,9422.0,,7865.6,5326.0,3192.0,3192.0,0.0,914.0,914.0,0.0,346.0,346.0,0.0,1072.0,1072.0,0.0,234.0,234.0,0.0,1072.0,1072.0,0.0,234.0,234.0,0.0
2020-02-23,,9729.0,9729.0,,8304.07,6054.0,3353.0,3353.0,0.0,978.0,978.0,0.0,329.0,329.0,0.0,1099.0,1099.0,0.0,234.0,234.0,0.0,1099.0,1099.0,0.0,234.0,234.0,0.0
2020-02-24,,9500.0,9500.0,,7952.5,6288.0,3299.0,3299.0,0.0,981.0,981.0,0.0,350.0,350.0,0.0,1060.0,1060.0,0.0,239.0,239.0,0.0,1060.0,1060.0,0.0,239.0,239.0,0.0
2020-02-24,,9500.0,8995.0,,7952.5,6235.0,3299.0,3299.0,0.0,981.0,981.0,0.0,350.0,350.0,0.0,1060.0,1060.0,0.0,239.0,239.0,0.0,1060.0,1060.0,0.0,239.0,239.0,0.0
2020-02-26,,9075.0,9075.0,,7468.8,5716.0,3180.0,3180.0,0.0,877.0,877.0,0.0,323.0,323.0,0.0,1077.0,1077.0,0.0,230.0,230.0,0.0,1077.0,1077.0,0.0,230.0,230.0,0.0
2020-03-27,,9834.0,9834.0,,7907.4,6418.0,2693.0,2693.0,0.0,1039.0,1039.0,0.0,391.0,391.0,0.0,1235.0,1235.0,0.0,259.0,259.0,0.0,1115.0,1115.0,0.0,681.0,681.0,0.0
2020-03-28,,10217.0,10217.0,,7963.5,6882.3,2776.0,2776.0,0.0,1057.0,1057.0,0.0,399.0,399.0,0.0,1285.0,1285.0,0.0,273.0,273.0,0.0,1169.0,1169.0,0.0,697.0,697.0,0.0
2020-02-29,,9418.0,9418.0,,7742.7,5662.0,3264.0,3264.0,0.0,1030.0,1030.0,0.0,314.0,314.0,0.0,1099.0,1099.0,0.0,234.0,234.0,0.0,1099.0,1099.0,0.0,234.0,234.0,0.0
2020-03-01,,9719.0,9719.0,,8291.6,6044.0,3367.0,3367.0,0.0,981.0,981.0,0.0,350.0,350.0,0.0,1118.0,1118.0,0.0,223.0,223.0,0.0,1118.0,1118.0,0.0,223.0,223.0,0.0
2020-03-02,,9756.0,9756.0,,8214.4,6308.0,3437.0,3437.0,0.0,933.0,933.0,0.0,341.0,341.0,0.0,1111.0,1111.0,0.0,241.0,241.0,0.0,1111.0,1111.0,0.0,241.0,241.0,0.0
2020-03-03,,9340.0,9340.0,,7364.1,5676.1,3189.0,3189.0,0.0,877.0,877.0,0.0,337.0,337.0,0.0,1042.0,1042.0,0.0,223.0,223.0,0.0,1042.0,1042.0,0.0,223.0,223.0,0.0
2020-03-04,,9315.0,9315.0,,8194.6,6045.0,3490.0,3490.0,0.0,1038.0,1038.0,0.0,347.0,347.0,0.0,1027.0,1027.0,0.0,217.0,217.0,0.0,1027.0,1027.0,0.0,217.0,217.0,0.0
2020-03-05,,9481.0,9481.0,,8137.5,5894.0,3487.0,3487.0,0.0,1013.0,1013.0,0.0,345.0,345.0,0.0,1009.0,1009.0,0.0,85.0,85.0,0.0,1009.0,1009.0,0.0,85.0,85.0,0.0
2020-03-06,,8460.0,8460.0,,6439.1,6364.8,2729.0,2729.0,0.0,905.0,905.0,0.0,287.0,287.0,0.0,1026.0,1026.0,0.0,219.0,219.0,0.0,1026.0,1026.0,0.0,219.0,219.0,0.0
2020-03-07,,9346.0,9346.0,,7538.8,5992.0,3200.0,3200.0,0.0,1006.0,1006.0,0.0,320.0,320.0,0.0,1058.0,1058.0,0.0,236.0,236.0,0.0,1058.0,1058.0,0.0,236.0,236.0,0.0
2020-03-08,,9578.0,9578.0,,8004.9,6094.0,3363.0,3363.0,0.0,913.0,913.0,0.0,320.0,320.0,0.0,1118.0,1118.0,0.0,255.0,255.0,0.0,1118.0,1118.0,0.0,255.0,255.0,0.0
2020-03-09,,9589.0,9589.0,,7925.8,6272.0,3375.0,3375.0,0.0,969.0,969.0,0.0,333.0,333.0,0.0,1103.0,1103.0,0.0,239.0,239.0,0.0,1103.0,1103.0,0.0,239.0,239.0,0.0
2020-03-10,,9732.0,9732.0,,8077.3,6266.0,3322.0,3322.0,0.0,1005.0,1005.0,0.0,337.0,337.0,0.0,1103.0,1103.0,0.0,234.0,234.0,0.0,1103.0,1103.0,0.0,234.0,234.0,0.0
2020-03-11,,9954.0,9954.0,,8257.6,6407.0,3477.0,3477.0,0.0,980.0,980.0,0.0,334.0,334.0,0.0,1134.0,1134.0,0.0,270.0,270.0,0.0,1134.0,1134.0,0.0,270.0,270.0,0.0
2020-03-12,,10623.0,10623.0,,8799.3,6769.0,3615.0,3615.0,0.0,1145.0,1145.0,0.0,357.0,357.0,0.0,1256.0,1256.0,0.0,263.0,263.0,0.0,1256.0,1256.0,0.0,263.0,263.0,0.0
2020-03-13,,9853.0,9853.0,,7738.4,7199.0,3202.0,3202.0,0.0,991.0,991.0,0.0,365.0,365.0,0.0,1165.0,1165.0,0.0,265.0,265.0,0.0,1165.0,1165.0,0.0,265.0,265.0,0.0
2020-03-14,,9582.0,9582.0,,7866.1,7133.0,3335.0,3335.0,0.0,1161.0,1161.0,0.0,366.0,366.0,0.0,1059.0,1059.0,0.0,233.0,233.0,0.0,1059.0,1059.0,0.0,233.0,233.0,0.0
2020-03-15,,10361.0,10361.0,,8519.1,7017.0,3602.0,3602.0,0.0,1183.0,1183.0,0.0,379.0,379.0,0.0,1200.0,1200.0,0.0,235.0,235.0,0.0,950.0,950.0,0.0,604.0,604.0,0.0
2020-03-16,,10610.0,10610.0,,9230.1,7225.0,3687.0,3687.0,0.0,1180.0,1180.0,0.0,386.0,386.0,0.0,1178.0,1178.0,0.0,262.0,262.0,0.0,1033.0,1033.0,0.0,643.0,643.0,0.0
2020-03-17,,9995.0,9995.0,,8338.8,7276.0,3181.0,3181.0,0.0,1119.0,1119.0,0.0,357.0,357.0,0.0,1202.0,1202.0,0.0,257.0,257.0,0.0,1071.0,1071.0,0.0,650.0,650.0,0.0
2020-03-18,,10790.0,10790.0,,9428.9,6999.0,3678.0,3678.0,0.0,1141.0,1141.0,0.0,369.0,369.0,0.0,1231.0,1231.0,0.0,272.0,272.0,0.0,1076.0,1076.0,0.0,652.0,652.0,0.0
2020-03-19,,10593.0,10593.0,,9219.8,7334.0,3702.0,3702.0,0.0,1145.0,1145.0,0.0,361.0,361.0,0.0,1233.0,1233.0,0.0,249.0,249.0,0.0,1065.0,1065.0,0.0,678.0,678.0,0.0
2020-03-20,,9727.0,9727.0,,7792.2,7223.3,3061.0,3061.0,0.0,1071.0,1071.0,0.0,348.0,348.0,0.0,1168.0,1168.0,0.0,243.0,243.0,0.0,978.0,978.0,0.0,645.0,645.0,0.0
2020-03-22,,10529.0,10529.0,,7808.8,6960.0,3587.0,3587.0,0.0,1130.0,1130.0,0.0,369.0,369.0,0.0,1087.0,1087.0,0.0,255.0,255.0,0.0,1123.0,1123.0,0.0,686.0,686.0,0.0
2020-03-22,,10186.0,10186.0,,8544.4,5786.0,3414.0,3414.0,0.0,1100.0,1100.0,0.0,328.0,328.0,0.0,1131.0,1131.0,0.0,230.0,230.0,0.0,1040.0,1040.0,0.0,637.0,637.0,0.0
